domain,type,original_reference
*greatbookswap.net,attackpage,safebrowsing.clients.google.com
*agwoan.com,malicious,siteinspector.comodo.com
*blog.3kingsclothing.com,malicious,siteinspector.comodo.com
*jerkstore.dk,attackpage,safebrowsing.clients.google.com
*kasyapiserve.com,attackpage,safebrowsing.clients.google.com
*kkokkoyaa.com,attackpage,safebrowsing.clients.google.com
*noviasconglamourenparla.es,malicious,siteinspector.comodo.com
*yesteam.org.in,malicious,siteinspector.comodo.com
*sznaucer-figa.nd.e-wro.pl,attackpage,safebrowsing.clients.google.com
*youknownow.ru,attackpage,safebrowsing.clients.google.com
*fideln.com,attackpage,safebrowsing.clients.google.com
*genconnectmentor.com,attackpage,safebrowsing.clients.google.com
*hbweiner.org,attackpage,safebrowsing.clients.google.com
*shuangying163.com,attackpage,safebrowsing.clients.google.com
*simplequiltmaking.com,attackpage,safebrowsing.clients.google.com
*asess.com.mx,highrisk,app.webinspector.com
*architectchurch.com,highrisk,app.webinspector.com
*asiaok.net,attackpage,www.google.com/safebrowsing
*bordobank.net,attackpage,www.google.com/safebrowsing
*junggomania.nefficient.co.kr,attackpage,www.google.com/safebrowsing
*koreasafety.com,attackpage,www.google.com/safebrowsing
*www.cibonline.org,redirect,evuln.com/labs
*www.haphuongfoundation.net,redirect,evuln.com/labs
*deltagroup.kz,malicious,quttera.com
*kisker.czisza.hu,malicious,quttera.com
*paradisulcopiilortargoviste.ro,malicious,quttera.com
*sexyfemalewrestlingmovies.com,malicious,quttera.com
*cmccwlan.cn,highrisk,app.webinspector.com
*alruno.home.pl,malicious,app.webinspector.com
*xn--80aaagge2acs2agf3bgi.xn--p1ai,attackpage,google.com/safebrowsing
*ahbddp.com,malicious,app.webinspector.com/
*aonikesi.com,malicious,app.webinspector.com/
*krasota-olimpia.ru,redirect,labs.sucuri.net/malware
*ckidkina.ru,attackpage,safebrowsing.clients.google.com
*parttimecollegejobs.com,attackpage,safebrowsing.clients.google.com
*bbpama.com,cookiebomb,urlquery.net/
*thomchotte.com,malicious,gist.github.com/jedisct1/
*etstemizlik.com,malicious,killmalware.com/
*gen-ever.com,malicious,killmalware.com/
*ksdnewr.com,malicious,app.webinspector.com/
*dxipo.com,attackpage,safebrowsing.clients.google.com
*52flz.com,attackpage,safebrowsing.google.com
*nexprice.com,attackpage,safebrowsing.google.com
